2024-11-03 21:50:44 WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:45 INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Node 0 disconnected.
2024-11-03 21:50:45 WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:47 INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Node 0 disconnected.
2024-11-03 21:50:47 WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:48 INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Node 0 disconnected.
2024-11-03 21:50:48 WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:48 INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Error sending fetch request (sessionId=680319008, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
2024-11-03 21:50:50 INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Node 0 disconnected.
2024-11-03 21:50:50 WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:51 INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Node 0 disconnected.
2024-11-03 21:50:51 WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:53 INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Node 0 disconnected.
2024-11-03 21:50:53 WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:54 INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Node 0 disconnected.
2024-11-03 21:50:54 WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:54 INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Error sending fetch request (sessionId=680319008, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
2024-11-03 21:50:56 INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Node 0 disconnected.
2024-11-03 21:50:56 WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:57 INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Node 0 disconnected.
2024-11-03 21:50:57 WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:50:57 INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Error sending fetch request (sessionId=680319008, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
2024-11-03 21:50:59 INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Node 0 disconnected.
2024-11-03 21:50:59 WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:51:00 INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Node 0 disconnected.
2024-11-03 21:51:00 WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:51:02 INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Node 0 disconnected.
2024-11-03 21:51:02 WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:51:03 INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Node 0 disconnected.
2024-11-03 21:51:03 WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:51:03 INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Error sending fetch request (sessionId=680319008, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
2024-11-03 21:51:05 INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Node 0 disconnected.
2024-11-03 21:51:05 WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=middleman-producer-1] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
2024-11-03 21:51:05 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-11-03 21:51:06 INFO  o.a.k.c.c.i.ConsumerRebalanceListenerInvoker - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Revoke previously assigned partitions transaction_topic-0
2024-11-03 21:51:06 INFO  o.s.k.l.KafkaMessageListenerContainer - transaction-group: partitions revoked: [transaction_topic-0]
2024-11-03 21:51:06 INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Resetting generation and member id due to: consumer pro-actively leaving the group
2024-11-03 21:51:06 INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Request joining group due to: consumer pro-actively leaving the group
2024-11-03 21:51:06 INFO  o.a.k.c.c.i.LegacyKafkaConsumer - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Unsubscribed all topics or patterns and assigned partitions
2024-11-03 21:51:06 INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Resetting generation and member id due to: consumer pro-actively leaving the group
2024-11-03 21:51:06 INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Request joining group due to: consumer pro-actively leaving the group
2024-11-03 21:51:07 INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Node 0 disconnected.
2024-11-03 21:51:07 WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-transaction-group-2, groupId=transaction-group] Connection to node 0 (DESKTOP-SIU06MR/192.168.1.8:9092) could not be established. Node may not be available.
